,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
1280,Elevator,0.796,0.793,7,-3.911,1,0.318,0.323,0.0,0.332,0.556,90.51,292933,38
1281,Taking My Ball,0.69,0.875,1,-3.189,1,0.081,0.00517,0.0,0.184,0.552,90.953,302587,34
1282,Music Box,0.635,0.712,4,-5.151,0,0.11,0.0131,0.0,0.187,0.458,78.598,304907,25
1283,Drop The Bomb On 'Em,0.892,0.693,11,-4.048,0,0.215,0.0277,0.0,0.123,0.357,91.989,287267,27
1284,My Darling,0.511,0.79,4,-6.592,1,0.449,0.319,0.0,0.265,0.456,170.903,319907,16
1285,Careful What You Wish For,0.634,0.601,6,-5.614,0,0.429,0.141,0.0,0.326,0.601,68.423,227187,10
1286,Dr. West - Skit (Edited),0.515,0.434,4,-11.582,1,0.359,0.436,4.87e-06,0.683,0.14,107.067,89173,28
1287,3 a.m. - Album Version (Edited),0.596,0.846,4,-2.085,0,0.404,0.0792,0.0,0.0639,0.788,79.724,319867,25
1288,My Mom - Album Version (Edited),0.818,0.861,1,-1.959,1,0.259,0.297,0.0,0.0774,0.768,90.078,319853,34
1289,Insane - Album Version (Edited),0.875,0.849,9,-1.175,0,0.157,0.194,0.0,0.194,0.732,98.014,181373,27
1290,Bagpipes From Baghdad - Album Version (Edited),0.745,0.922,5,-2.493,1,0.208,0.0758,0.0,0.103,0.369,93.038,283053,26
1291,Hello - Album Version (Edited),0.863,0.934,1,-5.744,1,0.176,0.144,0.0,0.317,0.758,95.978,248280,34
1292,Tonya - Skit (Edited),0.591,0.964,10,-4.98,0,0.329,0.222,4.24e-06,0.545,0.245,115.31,42160,33
1293,Same Song & Dance - Album Version (Edited),0.808,0.718,10,-4.639,0,0.267,0.123,0.0,0.375,0.212,101.995,246627,11
1294,We Made You,0.925,0.854,2,-1.226,1,0.0778,0.104,1.25e-06,0.118,0.654,114.01,269627,34
1295,Medicine Ball - Album Version (Edited),0.797,0.944,1,-2.606,1,0.249,0.097,0.0,0.111,0.693,120.002,237347,34
1296,Paul - Skit (Edited),0.605,0.405,8,-19.871,1,0.953,0.919,0.0,0.785,0.0796,194.001,19400,36
1297,Stay Wide Awake - Album Version (Edited),0.765,0.853,10,-3.442,0,0.283,0.184,0.0,0.235,0.606,75.071,319947,27
1298,Old Time's Sake - Album Version (Edited),0.791,0.821,1,-2.012,1,0.3,0.0435,0.0,0.295,0.854,175.861,278187,2
1299,Must Be The Ganja - Album Version (Edited),0.807,0.748,1,-0.237,1,0.26,0.348,0.0,0.231,0.751,83.093,242893,34
1300,Mr. Mathers - Skit,0.433,0.689,2,-6.967,1,0.228,0.142,4.26e-06,0.657,0.415,167.099,42400,21
1301,Deja Vu - Album Version (Edited),0.669,0.874,0,-1.927,1,0.235,0.203,0.0,0.169,0.598,84.07,283507,34
1302,Beautiful - Album Version (Edited),0.732,0.702,5,-4.436,0,0.0651,0.237,0.0,0.0756,0.498,132.056,392827,4
1303,Crack A Bottle - Album Version (Edited),0.534,0.812,9,-4.185,1,0.18,0.0808,0.0,0.182,0.354,168.926,297533,37
1304,Steve Berman - Skit (Edited),0.755,0.39,6,-15.045,1,0.932,0.612,0.0,0.866,0.73,79.324,89160,36
1305,Underground - Album Version (Edited),0.846,0.781,10,-3.603,0,0.338,0.108,0.0,0.577,0.528,115.008,371467,24
1306,Forever - Album Version (Edited),0.465,0.912,5,-2.325,0,0.353,0.217,0.0,0.3,0.503,105.352,357627,10
1307,Hell Breaks Loose - Album Version (Edited),0.672,0.847,10,-3.718,0,0.188,0.11,0.0,0.0887,0.922,79.901,244133,27
1308,Buffalo Bill - Album Version (Edited),0.546,0.884,10,-3.851,0,0.412,0.0188,0.0,0.19,0.684,175.847,236867,30
1309,Elevator - Album Version (Edited),0.756,0.784,7,-4.0,1,0.342,0.294,0.0,0.331,0.603,90.557,292933,38
1310,Taking My Ball - Album Version (Edited),0.695,0.872,1,-3.188,1,0.0815,0.00407,0.0,0.188,0.564,90.978,302587,34
1311,Music Box - Album Version (Edited),0.669,0.824,11,-4.078,1,0.0785,0.0222,0.0,0.265,0.463,78.509,304907,26
1312,Drop The Bomb On 'Em - Album Version (Edited),0.902,0.663,11,-4.682,0,0.217,0.0217,0.0,0.108,0.345,92.006,287467,1
1313,Dr. West - Skit,0.494,0.427,4,-11.725,1,0.36,0.406,8.16e-06,0.606,0.131,99.858,89547,28
1314,3 a.m.,0.75,0.831,4,-2.601,0,0.397,0.0603,0.0,0.0576,0.731,76.439,319853,25
1315,My Mom,0.812,0.88,1,-1.521,1,0.259,0.295,0.0,0.106,0.778,90.098,319867,34
1316,Insane,0.876,0.878,9,-0.929,0,0.168,0.251,0.0,0.321,0.677,97.99,181360,27
1317,Bagpipes From Baghdad,0.74,0.915,5,-2.472,0,0.211,0.104,0.0,0.0853,0.382,93.035,283067,25
1318,Hello,0.862,0.936,10,-5.782,0,0.189,0.149,0.0,0.551,0.718,96.0,248200,24
1319,Tonya - Skit,0.573,0.969,6,-4.41,1,0.344,0.296,0.0,0.442,0.169,78.28,42213,35
1320,Same Song & Dance,0.789,0.699,10,-4.702,0,0.268,0.131,0.0,0.381,0.209,101.971,246653,11
1321,We Made You,0.924,0.853,2,-1.203,1,0.0792,0.107,1.45e-06,0.129,0.67,114.003,269613,34
1322,Medicine Ball,0.776,0.943,1,-2.559,1,0.257,0.105,0.0,0.203,0.695,119.864,237333,34
1323,Paul - Skit,0.779,0.403,3,-18.333,1,0.935,0.953,0.0,0.764,0.419,84.573,19413,36
1324,Stay Wide Awake,0.747,0.851,10,-3.35,0,0.274,0.196,0.0,0.258,0.629,75.16,319973,27
1325,Old Time's Sake,0.775,0.829,1,-1.933,1,0.304,0.0606,0.0,0.33,0.836,176.047,278160,2
1326,Must Be The Ganja,0.728,0.801,1,0.161,1,0.297,0.322,0.0,0.244,0.794,82.657,242907,34
1327,Mr. Mathers - Skit,0.426,0.691,2,-6.962,1,0.265,0.179,0.0,0.702,0.472,172.009,42387,21
1328,Deja Vu,0.7,0.873,4,-1.88,0,0.208,0.208,0.0,0.229,0.571,84.023,283520,25
1329,Beautiful,0.727,0.696,5,-4.472,0,0.0706,0.251,0.0,0.0726,0.467,132.077,392827,4
1330,Crack A Bottle,0.516,0.874,9,-2.571,1,0.186,0.0864,0.0,0.173,0.391,169.561,297520,37
1331,Steve Berman - Skit,0.762,0.445,4,-14.079,0,0.924,0.587,0.0,0.881,0.755,95.286,89187,36
1332,Underground,0.632,0.807,10,-3.489,0,0.409,0.126,0.0,0.578,0.55,107.315,370453,24
1333,We Made You,0.935,0.853,2,-1.348,1,0.0672,0.0835,1.68e-06,0.181,0.654,114.007,286987,34
1334,Crack A Bottle - Single Version,0.534,0.806,6,-4.32,0,0.189,0.0795,0.0,0.29,0.337,84.092,315147,11
1335,My Darling,0.511,0.79,4,-6.592,1,0.45,0.319,0.0,0.256,0.456,170.903,320440,16
1336,Careful What You Wish For,0.634,0.601,6,-5.614,0,0.429,0.141,0.0,0.326,0.601,68.423,227187,10
1337,Dr. West - Skit,0.494,0.427,4,-11.725,1,0.36,0.406,8.16e-06,0.606,0.131,99.858,89547,28
1338,3 a.m.,0.75,0.831,4,-2.601,0,0.397,0.0603,0.0,0.0576,0.731,76.439,319853,25
1339,My Mom,0.812,0.88,1,-1.521,1,0.259,0.295,0.0,0.106,0.778,90.098,319867,34
1340,Insane,0.876,0.878,9,-0.929,0,0.168,0.251,0.0,0.321,0.677,97.99,181360,27
1341,Bagpipes From Baghdad,0.74,0.915,5,-2.472,0,0.211,0.104,0.0,0.0853,0.382,93.035,283067,25
1342,Hello,0.862,0.936,10,-5.782,0,0.189,0.149,0.0,0.551,0.718,96.0,248200,24
1343,Tonya - Skit,0.573,0.969,6,-4.41,1,0.344,0.296,0.0,0.442,0.169,78.28,42213,35
1344,Same Song & Dance,0.789,0.699,10,-4.702,0,0.268,0.131,0.0,0.381,0.209,101.971,246653,11
1345,We Made You,0.924,0.853,2,-1.203,1,0.0792,0.107,1.45e-06,0.129,0.67,114.003,269613,34
1346,Medicine Ball,0.776,0.943,1,-2.559,1,0.257,0.105,0.0,0.203,0.695,119.864,237333,34
1347,Paul - Skit,0.779,0.403,3,-18.333,1,0.935,0.953,0.0,0.764,0.419,84.573,19413,36
1348,Stay Wide Awake,0.747,0.851,10,-3.35,0,0.274,0.196,0.0,0.258,0.629,75.16,319973,27
1349,Old Time's Sake,0.775,0.829,1,-1.933,1,0.304,0.0606,0.0,0.33,0.836,176.047,278160,2
1350,Must Be The Ganja,0.728,0.801,1,0.161,1,0.297,0.322,0.0,0.244,0.794,82.657,242907,34
1351,Mr. Mathers - Skit,0.426,0.691,2,-6.962,1,0.265,0.179,0.0,0.702,0.472,172.009,42387,21
1352,Deja Vu,0.7,0.873,4,-1.88,0,0.208,0.208,0.0,0.229,0.571,84.023,283520,25
1353,Beautiful,0.727,0.696,5,-4.472,0,0.0706,0.251,0.0,0.0726,0.467,132.077,392827,4
1354,Crack A Bottle,0.516,0.874,9,-2.571,1,0.186,0.0864,0.0,0.173,0.391,169.561,297520,37
1355,Steve Berman - Skit,0.762,0.445,4,-14.079,0,0.924,0.587,0.0,0.881,0.755,95.286,89187,36
1356,Underground,0.632,0.807,10,-3.489,0,0.409,0.126,0.0,0.568,0.55,107.316,371453,24
1357,We Made You,0.933,0.85,2,-1.372,1,0.0683,0.0807,2.53e-06,0.192,0.644,114.011,287080,34
1358,Crack A Bottle - Single Version,0.536,0.808,6,-4.305,0,0.192,0.0812,0.0,0.314,0.334,84.307,315600,11
1359,Dr. West - Skit,0.494,0.427,4,-11.725,1,0.36,0.406,8.16e-06,0.606,0.131,99.858,89547,28
1360,3 a.m.,0.75,0.831,4,-2.601,0,0.397,0.0603,0.0,0.0576,0.731,76.439,319853,25
1361,My Mom,0.812,0.88,1,-1.521,1,0.259,0.295,0.0,0.106,0.778,90.098,319867,34
1362,Insane,0.876,0.878,9,-0.929,0,0.168,0.251,0.0,0.321,0.677,97.99,181360,27
1363,Bagpipes From Baghdad,0.74,0.915,5,-2.472,0,0.211,0.104,0.0,0.0853,0.382,93.035,283067,25
1364,Hello,0.862,0.936,10,-5.782,0,0.189,0.149,0.0,0.551,0.718,96.0,248200,24
1365,Tonya - Skit,0.574,0.969,6,-4.41,1,0.332,0.294,0.0,0.458,0.168,78.238,42227,35
1366,Same Song & Dance,0.808,0.721,10,-4.685,0,0.228,0.127,0.0,0.36,0.213,101.982,246640,11
1367,We Made You,0.924,0.853,2,-1.203,1,0.0792,0.107,1.45e-06,0.129,0.67,114.003,269613,34
1368,Medicine Ball,0.776,0.943,1,-2.559,1,0.257,0.105,0.0,0.212,0.695,119.858,237347,34
1369,Paul - Skit,0.82,0.41,0,-18.202,1,0.932,0.955,0.0,0.762,0.421,97.199,19400,36
1370,Stay Wide Awake,0.747,0.851,10,-3.35,0,0.274,0.196,0.0,0.258,0.629,75.16,319973,27
1371,Old Time's Sake,0.775,0.829,1,-1.933,1,0.304,0.0606,0.0,0.33,0.836,176.047,278160,2
1372,Must Be The Ganja,0.728,0.801,1,0.161,1,0.297,0.322,0.0,0.244,0.794,82.657,242907,34
1373,Mr. Mathers - Skit,0.426,0.691,2,-6.962,1,0.265,0.179,0.0,0.702,0.472,172.009,42387,21
1374,Deja Vu,0.7,0.873,4,-1.88,0,0.208,0.208,0.0,0.229,0.571,84.023,283520,25
1375,Beautiful,0.727,0.696,5,-4.472,0,0.0706,0.251,0.0,0.0726,0.467,132.077,392827,4
1376,Crack A Bottle,0.516,0.874,9,-2.571,1,0.186,0.0864,0.0,0.173,0.391,169.561,297520,37
1377,Steve Berman - Skit,0.762,0.445,4,-14.079,0,0.924,0.587,0.0,0.881,0.755,95.286,89187,36
1378,Underground,0.632,0.807,10,-3.489,0,0.409,0.126,0.0,0.568,0.55,107.316,371453,24
1379,Dr. West - Skit (Edited),0.515,0.434,4,-11.582,1,0.359,0.436,4.87e-06,0.683,0.14,107.067,89173,28
1380,3 a.m. - Album Version (Edited),0.596,0.846,4,-2.085,0,0.404,0.0792,0.0,0.0639,0.788,79.724,319867,25
1381,My Mom - Album Version (Edited),0.818,0.861,1,-1.959,1,0.259,0.297,0.0,0.0774,0.768,90.078,319853,34
1382,Insane - Album Version (Edited),0.875,0.849,9,-1.175,0,0.157,0.194,0.0,0.194,0.732,98.014,181373,27
1383,Bagpipes From Baghdad - Album Version (Edited),0.745,0.922,5,-2.493,1,0.208,0.0758,0.0,0.103,0.369,93.038,283053,26
1384,Hello - Album Version (Edited),0.863,0.934,1,-5.744,1,0.176,0.144,0.0,0.317,0.758,95.978,248280,34
1385,Tonya - Skit (Edited),0.591,0.964,10,-4.98,0,0.329,0.222,4.24e-06,0.545,0.245,115.31,42160,33
1386,Same Song & Dance - Album Version (Edited),0.808,0.718,10,-4.639,0,0.267,0.123,0.0,0.375,0.212,101.995,246627,11
1387,We Made You,0.925,0.854,2,-1.226,1,0.0778,0.104,1.25e-06,0.118,0.654,114.01,269627,34
1388,Medicine Ball - Album Version (Edited),0.797,0.944,1,-2.606,1,0.249,0.097,0.0,0.111,0.693,120.002,237347,34
1389,Paul - Skit (Edited),0.605,0.405,8,-19.871,1,0.953,0.919,0.0,0.785,0.0796,194.001,19400,36
1390,Stay Wide Awake - Album Version (Edited),0.765,0.853,10,-3.442,0,0.283,0.184,0.0,0.235,0.606,75.071,319947,27
1391,Old Time's Sake - Album Version (Edited),0.791,0.821,1,-2.012,1,0.3,0.0435,0.0,0.295,0.854,175.861,278187,2
1392,Must Be The Ganja - Album Version (Edited),0.807,0.748,1,-0.237,1,0.26,0.348,0.0,0.231,0.751,83.093,242893,34
1393,Mr. Mathers - Skit,0.433,0.689,2,-6.967,1,0.228,0.142,4.26e-06,0.657,0.415,167.099,42400,21
1394,Deja Vu - Album Version (Edited),0.669,0.874,0,-1.927,1,0.235,0.203,0.0,0.169,0.598,84.07,283507,34
1395,Beautiful - Album Version (Edited),0.732,0.702,5,-4.436,0,0.0651,0.237,0.0,0.0756,0.498,132.056,392827,4
1396,Crack A Bottle - Album Version (Edited),0.534,0.812,9,-4.185,1,0.18,0.0808,0.0,0.182,0.354,168.926,297533,37
1397,Steve Berman - Skit (Edited),0.755,0.39,6,-15.045,1,0.932,0.612,0.0,0.866,0.73,79.324,89160,36
1398,Underground - Album Version (Edited),0.846,0.781,10,-3.603,0,0.338,0.108,0.0,0.577,0.528,115.008,371467,24
1399,Dr. West - Skit,0.494,0.427,4,-11.725,1,0.36,0.406,8.16e-06,0.606,0.131,99.858,89547,28
1400,3 a.m.,0.75,0.831,4,-2.601,0,0.397,0.0603,0.0,0.0576,0.731,76.439,319853,25
1401,My Mom,0.812,0.88,1,-1.521,1,0.259,0.295,0.0,0.106,0.778,90.098,319867,34
1402,Insane,0.876,0.878,9,-0.929,0,0.168,0.251,0.0,0.321,0.677,97.99,181360,27
1403,Bagpipes From Baghdad,0.74,0.915,5,-2.472,0,0.211,0.104,0.0,0.0853,0.382,93.035,283067,25
1404,Hello,0.862,0.936,10,-5.782,0,0.189,0.149,0.0,0.551,0.718,96.0,248200,24
1405,Tonya - Skit,0.573,0.969,6,-4.41,1,0.344,0.296,0.0,0.442,0.169,78.28,42213,35
1406,Same Song & Dance,0.789,0.699,10,-4.702,0,0.268,0.131,0.0,0.381,0.209,101.971,246653,11
1407,We Made You,0.924,0.853,2,-1.203,1,0.0792,0.107,1.45e-06,0.129,0.67,114.003,269613,34
1408,Medicine Ball,0.776,0.943,1,-2.559,1,0.257,0.105,0.0,0.203,0.695,119.864,237333,34
1409,Paul - Skit,0.779,0.403,3,-18.333,1,0.935,0.953,0.0,0.764,0.419,84.573,19413,36
1410,Stay Wide Awake,0.747,0.851,10,-3.35,0,0.274,0.196,0.0,0.258,0.629,75.16,319973,27
1411,Old Time's Sake,0.775,0.829,1,-1.933,1,0.304,0.0606,0.0,0.33,0.836,176.047,278160,2
1412,Must Be The Ganja,0.728,0.801,1,0.161,1,0.297,0.322,0.0,0.244,0.794,82.657,242907,34
1413,Mr. Mathers - Skit,0.426,0.691,2,-6.962,1,0.265,0.179,0.0,0.702,0.472,172.009,42387,21
1414,Deja Vu,0.7,0.873,4,-1.88,0,0.208,0.208,0.0,0.229,0.571,84.023,283520,25
1415,Beautiful,0.727,0.696,5,-4.472,0,0.0706,0.251,0.0,0.0726,0.467,132.077,392827,4
1416,Crack A Bottle,0.516,0.874,9,-2.571,1,0.186,0.0864,0.0,0.173,0.391,169.561,297520,37
1417,Steve Berman - Skit,0.762,0.445,4,-14.079,0,0.924,0.587,0.0,0.881,0.755,95.286,89187,36
1418,Underground,0.631,0.807,10,-3.489,0,0.409,0.126,0.0,0.568,0.55,106.988,371280,24
1419,My Darling,0.622,0.793,4,-6.558,1,0.367,0.296,0.0,0.184,0.487,62.88,320427,31
1420,Careful What You Wish For,0.746,0.609,6,-5.623,0,0.372,0.137,0.0,0.328,0.591,82.478,227173,10
1421,Shady Narcotics,0.7,0.788,7,-4.66,1,0.147,0.000276,0.805,0.124,0.474,136.343,56453,32
1422,We're Back,0.575,0.76,6,-5.464,1,0.406,0.00996,0.0,0.631,0.696,87.582,239627,7
1423,Pistol Pistol (Remix),0.795,0.848,2,-3.812,1,0.307,0.124,0.0,0.313,0.79,86.03,145827,34
1424,Murder,0.657,0.876,11,-1.65,1,0.371,0.326,0.000656,0.303,0.632,83.506,130613,35
1425,Everything Is Shady,0.53,0.683,2,-4.028,1,0.333,0.0117,0.0,0.371,0.54,78.132,269467,31
1426,The Re-Up,0.682,0.789,9,-5.01,1,0.488,0.0231,0.0,0.323,0.575,173.015,177907,16
1427,You Don't Know,0.767,0.864,10,-1.847,0,0.133,0.0116,0.0,0.0957,0.747,85.475,257907,27
1428,Jimmy Crack Corn,0.585,0.817,6,-2.577,1,0.295,0.0079,0.0,0.2,0.325,124.128,234453,26
1429,Trapped,0.702,0.823,11,-3.329,1,0.473,0.198,0.0,0.163,0.323,160.995,58280,37
1430,Whatever You Want,0.555,0.863,1,-3.197,1,0.427,0.134,0.0,0.208,0.502,108.233,168973,31
1431,Talkin' All That,0.568,0.904,2,-4.796,1,0.453,0.0549,5.4e-06,0.285,0.462,159.867,245427,16
1432,By My Side,0.537,0.872,1,-3.092,1,0.374,0.229,0.0,0.583,0.917,80.006,246760,7
1433,We Ride For Shady,0.483,0.926,5,-3.363,0,0.352,0.177,0.0,0.258,0.594,129.671,188187,30
1434,There He Is,0.667,0.808,1,-4.667,1,0.265,0.141,0.0,0.115,0.653,83.031,265013,34
1435,Tryin' Ta Win,0.437,0.836,10,-4.957,0,0.405,0.133,0.0,0.627,0.45,85.235,232920,33
1436,Smack That (Remix),0.771,0.568,5,-4.621,0,0.235,0.0265,0.0,0.226,0.678,59.494,311893,25
1437,Public Enemy #1,0.761,0.683,8,-4.637,1,0.293,0.236,0.0,0.176,0.47,91.06,114547,35
1438,Get Low,0.443,0.683,10,-5.973,0,0.381,0.00352,0.0,0.338,0.379,178.425,199800,30
1439,Ski Mask Way (Eminem Remix),0.575,0.875,6,-3.866,0,0.196,0.139,0.000409,0.141,0.27,90.547,184040,11
1440,Shake That (Remix),0.945,0.701,8,-3.749,1,0.158,0.0872,3.32e-06,0.147,0.617,107.036,179560,38
1441,Cry Now - Shady Remix,0.441,0.975,8,-3.251,1,0.271,0.138,0.0,0.854,0.681,87.142,309707,33
1442,No Apologies,0.538,0.73,9,-3.426,0,0.276,0.0171,0.0,0.106,0.083,87.022,256453,11
1443,Billion Bucks,0.726,0.694,11,-6.506,0,0.299,0.0483,0.0,0.327,0.59,82.507,221027,27
1444,Curtains Up,0.306,0.724,9,-18.799,0,0.0897,0.48,0.000982,0.935,0.0269,114.923,46867,28
1445,Evil Deeds,0.731,0.686,11,-5.002,0,0.33,0.0915,0.0,0.415,0.29,75.54,259573,11
1446,Never Enough,0.777,0.716,11,-5.327,1,0.347,0.294,0.0,0.665,0.593,95.756,159787,7
1447,Yellow Brick Road,0.766,0.818,9,-3.545,0,0.249,0.293,9.39e-05,0.205,0.776,84.466,346253,27
1448,Like Toy Soldiers,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,296880,11
1449,Mosh,0.625,0.719,10,-3.326,0,0.24,0.672,0.0,0.7,0.524,72.532,317813,24
1450,Puke,0.763,0.783,4,-4.601,0,0.222,0.136,0.0,0.0412,0.529,81.975,247827,25
1451,My 1st Single,0.833,0.949,4,-3.082,0,0.182,0.0553,0.0251,0.14,0.907,170.009,302840,9
1452,Paul - Skit,0.77,0.234,8,-16.867,0,0.783,0.987,0.0,0.634,0.788,60.286,32027,36
1453,Rain Man,0.836,0.494,9,-3.506,0,0.253,0.0968,0.0,0.078,0.456,88.04,313947,1
1454,Big Weenie,0.622,0.539,1,-4.331,1,0.502,0.242,0.0,0.107,0.315,173.662,266933,16
1455,Em Calls Paul - Skit,0.63,0.371,7,-17.591,1,0.449,0.993,0.0013,0.487,0.177,97.191,71747,0
1456,Just Lose It,0.94,0.633,8,-3.56,1,0.0467,0.0581,4.04e-05,0.281,0.962,121.003,248680,38
1457,Ass Like That,0.646,0.796,2,-6.152,1,0.366,0.409,0.0,0.107,0.676,83.093,265480,31
1458,Spend Some Time,0.695,0.61,5,-5.133,1,0.228,0.0561,1.19e-05,0.123,0.133,83.659,310720,23
1459,Mockingbird,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,250760,31
1460,Crazy In Love,0.679,0.732,4,-6.583,0,0.246,0.0221,0.0,0.127,0.775,80.003,242307,25
1461,One Shot 2 Shot,0.885,0.61,1,-6.266,1,0.225,0.194,0.0,0.278,0.822,98.974,266573,34
1462,Final Thought - Skit,0.546,0.465,7,-24.404,1,0.136,0.00403,0.14,0.439,0.481,125.684,30200,19
1463,Encore/Curtains Down,0.605,0.747,5,-5.574,0,0.397,0.0838,0.0,0.462,0.565,173.951,348400,30
1464,We As Americans,0.749,0.576,1,-6.935,0,0.46,0.132,0.0,0.125,0.394,170.614,276320,4
1465,Love You More,0.837,0.604,2,-8.131,1,0.0897,0.0475,0.0163,0.0999,0.302,93.238,284120,14
1466,Ricky Ticky Toc,0.727,0.606,0,-4.843,1,0.412,0.0315,2.15e-06,0.176,0.52,172.068,169587,2
1467,Curtains Up,0.306,0.724,9,-18.799,0,0.0897,0.48,0.000982,0.935,0.0269,114.923,46867,28
1468,Evil Deeds,0.731,0.686,11,-5.002,0,0.33,0.0915,0.0,0.415,0.29,75.54,259573,11
1469,Never Enough,0.777,0.716,11,-5.327,1,0.347,0.294,0.0,0.665,0.593,95.756,159787,7
1470,Yellow Brick Road,0.766,0.818,9,-3.545,0,0.249,0.293,9.39e-05,0.205,0.776,84.466,346253,27
1471,Like Toy Soldiers,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,296880,11
1472,Mosh,0.625,0.719,10,-3.326,0,0.24,0.672,0.0,0.7,0.524,72.532,317813,24
1473,Puke,0.763,0.783,4,-4.601,0,0.222,0.136,0.0,0.0412,0.529,81.975,247827,25
1474,My 1st Single,0.833,0.949,4,-3.082,0,0.182,0.0553,0.0251,0.14,0.907,170.009,302840,9
1475,Paul - Skit,0.77,0.234,8,-16.867,0,0.783,0.987,0.0,0.634,0.788,60.286,32027,36
1476,Rain Man,0.836,0.494,9,-3.506,0,0.253,0.0968,0.0,0.078,0.456,88.04,313947,1
1477,Big Weenie,0.622,0.539,1,-4.331,1,0.502,0.242,0.0,0.107,0.315,173.662,266933,16
1478,Em Calls Paul - Skit,0.63,0.371,7,-17.591,1,0.449,0.993,0.0013,0.487,0.177,97.191,71747,0
1479,Just Lose It,0.94,0.633,8,-3.56,1,0.0467,0.0581,4.04e-05,0.281,0.962,121.003,248680,38
1480,Ass Like That,0.646,0.796,2,-6.152,1,0.366,0.409,0.0,0.107,0.676,83.093,265480,31
1481,Spend Some Time,0.695,0.61,5,-5.133,1,0.228,0.0561,1.19e-05,0.123,0.133,83.659,310720,23
1482,Mockingbird,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,250760,31
1483,Crazy In Love,0.679,0.732,4,-6.583,0,0.246,0.0221,0.0,0.127,0.775,80.003,242307,25
1484,One Shot 2 Shot,0.885,0.61,1,-6.266,1,0.225,0.194,0.0,0.278,0.822,98.974,266573,34
1485,Final Thought - Skit,0.546,0.465,7,-24.404,1,0.136,0.00403,0.14,0.439,0.481,125.684,30200,19
1486,Encore/Curtains Down,0.605,0.747,5,-5.574,0,0.397,0.0838,0.0,0.462,0.565,173.951,348400,30
1487,Curtains Up,0.319,0.746,9,-18.777,0,0.091,0.516,0.000142,0.94,0.028,114.48,46680,28
1488,Evil Deeds,0.752,0.664,2,-4.974,1,0.259,0.0694,0.0,0.58,0.344,75.485,253427,7
1489,Never Enough,0.795,0.72,11,-5.28,1,0.302,0.269,0.0,0.438,0.627,95.67,159760,38
1490,Yellow Brick Road,0.702,0.837,4,-3.611,0,0.313,0.306,2.05e-06,0.184,0.76,168.949,346413,9
1491,Like Toy Soldiers,0.669,0.799,1,-2.769,0,0.263,0.0191,0.000951,0.225,0.395,81.863,290453,25
1492,Mosh,0.628,0.726,10,-3.346,0,0.238,0.672,0.0,0.69,0.483,72.527,317800,24
1493,Puke,0.778,0.796,4,-4.611,0,0.214,0.128,0.0,0.048,0.573,82.008,247853,25
1494,My 1st Single,0.864,0.947,4,-3.425,0,0.199,0.0956,0.00571,0.143,0.936,170.008,302827,9
1495,Paul - Skit,0.735,0.195,9,-18.02,1,0.687,0.988,0.0,0.627,0.785,59.7,32120,36
1496,Rain Man,0.838,0.45,9,-4.402,0,0.252,0.112,0.0,0.074,0.485,88.05,313867,1
1497,Big Weenie,0.639,0.496,1,-5.799,1,0.561,0.189,0.0,0.0971,0.292,86.1,266907,31
1498,Em Calls Paul - Skit,0.638,0.315,7,-17.564,1,0.455,0.992,0.000522,0.223,0.159,62.706,67960,0
1499,Just Lose It,0.933,0.655,8,-2.969,1,0.0469,0.0513,2.79e-05,0.289,0.934,120.979,248667,38
1500,Ass Like That,0.637,0.768,2,-7.38,1,0.408,0.404,0.0,0.0961,0.68,83.28,265480,31
1501,Spend Some Time,0.753,0.602,0,-5.001,1,0.22,0.0798,2.57e-05,0.098,0.12,83.698,310733,14
1502,Mockingbird,0.624,0.673,2,-3.995,1,0.289,0.214,0.0,0.118,0.277,83.592,250760,31
1503,Crazy In Love,0.497,0.727,6,-6.619,0,0.301,0.0198,0.0,0.117,0.728,75.427,243360,10
1504,One Shot 2 Shot,0.931,0.504,6,-6.674,0,0.232,0.199,1.83e-05,0.113,0.83,98.948,255573,18
1505,Final Thought - Skit,0.572,0.472,7,-24.456,1,0.183,0.00632,0.0154,0.334,0.39,34.451,30187,19
1506,Encore,0.664,0.66,8,-6.108,1,0.321,0.0544,0.0,0.799,0.54,174.23,312947,21
1507,We As Americans,0.76,0.497,1,-8.2,0,0.447,0.0967,8.52e-06,0.137,0.396,170.66,276373,4
1508,Love You More,0.794,0.688,1,-6.733,0,0.066,0.129,0.0016,0.0949,0.429,92.498,283640,25
1509,Ricky Ticky Toc,0.732,0.611,0,-4.479,1,0.394,0.039,3.34e-06,0.233,0.503,171.984,169587,2
1510,Curtains Up,0.319,0.746,9,-18.777,0,0.091,0.516,0.000142,0.94,0.028,114.48,46680,28
1511,Evil Deeds,0.752,0.664,2,-4.974,1,0.259,0.0694,0.0,0.58,0.344,75.485,253427,7
1512,Never Enough,0.795,0.72,11,-5.28,1,0.302,0.269,0.0,0.438,0.627,95.67,159760,38
1513,Yellow Brick Road,0.702,0.837,4,-3.611,0,0.313,0.306,2.05e-06,0.184,0.76,168.949,346413,9
